32,34,36,38,40,42,44,47,,,,,,
40,42,45,47,50,52,55,58,62,,,,,
49,52,55,58,61,64,68,72,76,,,,,
59,62,66,69,73,77,82,86,91,96,,,,
70,74,78,82,87,92,97,102,108,114,,,,
82,87,91,96,102,107,113,120,126,133,141,,,
95,100,106,112,118,124,131,139,146,155,163,,,
109,115,121,128,135,143,151,159,168,177,187,198,,
124,131,138,146,154,162,172,181,191,202,213,225,,
141,149,157,166,175,185,195,206,217,229,242,256,270,
159,168,177,187,197,208,220,232,245,259,273,288,304,
178,188,198,209,221,233,246,260,274,290,306,323,341,360
199,210,221,233,246,260,274,289,305,321,339,357,377,398
